EmpName,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,promotion_last_5years,Department,salary
Clayton Morgan,0.61,0.98,3.0,267.0,3.0,0,0,technical,low
Cody Hudson,0.84,0.77,4.0,262.0,4.0,0,0,technical,low
Dora Mendez,0.85,0.59,3.0,235.0,3.0,0,0,support,low
Bertie Clayton,0.67,0.57,2.0,160.0,4.0,0,0,support,low
Jeanette Powers,0.54,0.94,4.0,267.0,4.0,0,0,support,low
Leo Richardson,0.75,0.56,5.0,175.0,4.0,0,0,support,low
Georgie Torres,0.82,0.79,4.0,224.0,2.0,0,0,support,low
Jessie Holland,0.76,0.6,4.0,177.0,2.0,0,0,support,low
Nellie Black,0.19,0.53,6.0,191.0,4.0,0,0,support,low
Johnny Romero,0.61,0.41,3.0,138.0,3.0,0,0,support,low
Polly Greene,0.51,0.8,3.0,218.0,2.0,1,0,support,low
Jordan Carroll,0.52,0.88,3.0,179.0,2.0,1,0,support,low
Loretta Malone,0.74,0.58,3.0,241.0,3.0,0,0,support,low
Charlotte Craig,0.98,0.91,4.0,240.0,3.0,0,0,technical,low
Brett Johnston,0.71,0.92,3.0,202.0,4.0,0,0,technical,low
Elijah Murray,0.33,0.88,6.0,260.0,3.0,0,0,technical,low
Dylan Larson,0.98,0.97,3.0,196.0,3.0,0,0,management,low
Walter Tucker,0.52,0.59,2.0,176.0,3.0,1,0,IT,low
Walter Simpson,0.84,0.65,2.0,140.0,3.0,0,0,IT,low
Carlos Salazar,0.87,0.5,3.0,242.0,2.0,0,0,IT,low
Sally Owen,0.48,0.85,3.0,279.0,4.0,0,0,IT,low
Minnie Bell,0.58,0.55,4.0,202.0,3.0,0,0,IT,medium
Owen Vasquez,0.58,0.84,5.0,228.0,3.0,0,0,product_mng,medium
Darrell Bowman,0.73,0.69,4.0,171.0,3.0,0,0,product_mng,medium
Georgie Lindsey,0.68,0.54,4.0,153.0,3.0,0,0,product_mng,medium
Nannie Powers,0.41,0.68,3.0,165.0,3.0,1,0,product_mng,medium
Glenn Morton,0.85,0.6,3.0,182.0,3.0,0,0,IT,medium
Margaret Lane,0.54,0.7,5.0,239.0,5.0,0,0,RandD,medium
Donald Black,0.81,0.61,5.0,231.0,2.0,0,0,RandD,medium
Billy Ray,0.7,0.52,4.0,255.0,3.0,0,0,RandD,medium
Lelia Fleming,0.63,0.66,4.0,237.0,2.0,1,0,RandD,medium
Melvin Hogan,0.68,0.54,3.0,251.0,2.0,0,0,RandD,medium
Raymond McBride,0.7,0.53,4.0,178.0,2.0,0,0,marketing,medium
Ola Reeves,0.82,0.65,4.0,148.0,3.0,0,0,sales,high
Birdie Andrews,0.72,0.94,4.0,240.0,4.0,0,0,accounting,low
Edward Stevens,0.77,0.78,3.0,269.0,3.0,0,0,support,medium
Blanche Goodwin,0.86,0.91,4.0,147.0,3.0,0,0,technical,medium
Harold Nguyen,0.15,0.97,3.0,198.0,5.0,0,0,management,medium
Bess Pratt,0.81,0.99,5.0,143.0,3.0,0,0,marketing,medium
Mildred Hines,0.93,0.98,3.0,238.0,2.0,0,0,marketing,low
Pauline McBride,0.62,0.74,4.0,213.0,4.0,0,0,marketing,low
Frederick Tucker,0.53,0.81,3.0,226.0,3.0,1,0,sales,low
Jeffery Hanson,0.86,0.99,3.0,169.0,2.0,1,0,sales,low
Ralph Mendez,0.92,0.65,4.0,238.0,2.0,0,0,sales,low
Celia Roberts,0.97,0.83,4.0,202.0,3.0,0,0,sales,low
Ida Alvarado,0.39,0.78,2.0,205.0,6.0,1,0,sales,low
Willie Baldwin,0.45,0.66,3.0,111.0,4.0,0,0,sales,low
Hilda Becker,0.41,0.47,4.0,104.0,3.0,0,0,sales,low
Clara Foster,0.51,0.69,3.0,212.0,3.0,0,0,sales,low
Jessie Gregory,0.74,0.62,4.0,236.0,4.0,0,0,sales,low
Marian Shelton,0.69,0.57,5.0,245.0,2.0,1,0,sales,low
Willie Freeman,0.84,0.64,4.0,267.0,4.0,0,0,sales,low
Sally Davidson,0.69,0.66,5.0,106.0,5.0,0,0,sales,low
Mina Lloyd,0.93,0.53,5.0,198.0,3.0,0,0,sales,low
Callie Page,0.33,0.45,6.0,239.0,3.0,0,0,sales,low
Betty Wright,0.25,0.65,5.0,220.0,3.0,0,0,sales,low
Dorothy Rios,0.63,0.59,5.0,224.0,3.0,0,0,sales,low
Kate Cooper,0.81,0.62,3.0,100.0,3.0,0,0,sales,low
Justin Marshall,0.12,0.87,4.0,244.0,5.0,0,0,sales,low
Francisco Ramos,0.52,0.66,4.0,139.0,3.0,0,0,sales,low
Marion Daniel,0.57,0.51,2.0,152.0,2.0,0,0,accounting,medium
Susie Perez,0.84,0.58,4.0,208.0,3.0,0,0,accounting,medium
Dean Sutton,0.6,0.95,5.0,205.0,3.0,0,0,accounting,medium
Georgie Benson,0.73,0.44,2.0,194.0,6.0,0,0,hr,medium
Tom Palmer,0.2,0.58,3.0,209.0,5.0,0,0,hr,medium
Devin Elliott,0.58,0.9,3.0,212.0,3.0,0,0,hr,medium
Bill Duncan,0.48,0.56,2.0,151.0,3.0,0,0,hr,medium
Winifred Nash,0.54,0.67,4.0,282.0,6.0,0,0,technical,medium
Emilie Elliott,0.86,1.0,4.0,256.0,3.0,0,0,technical,medium
Ollie Butler,0.94,0.83,2.0,185.0,3.0,1,0,technical,medium
Maria Jordan,0.76,0.74,5.0,132.0,3.0,0,0,technical,medium
Zachary Collier,0.61,0.95,5.0,233.0,3.0,0,0,technical,medium
Leila Kennedy,0.56,0.94,4.0,215.0,2.0,0,0,technical,high
Elijah Hicks,1.0,0.74,3.0,220.0,4.0,0,0,technical,low
Violet Mack,0.15,0.53,6.0,222.0,3.0,0,0,technical,medium
Justin Wright,0.19,0.58,5.0,182.0,2.0,0,0,technical,medium
Lola Welch,0.17,0.73,5.0,258.0,4.0,0,0,technical,medium
Dora Larson,0.71,0.57,3.0,209.0,2.0,0,0,technical,medium
Jeff Wells,0.86,0.79,3.0,242.0,2.0,0,0,support,low
Wayne Hampton,0.59,0.88,4.0,155.0,3.0,1,0,support,low
Willie Abbott,0.74,0.76,5.0,104.0,4.0,0,0,support,low
Brent Cole,0.98,0.92,4.0,201.0,3.0,1,0,support,low
Allie Thomas,0.93,0.75,5.0,143.0,3.0,0,0,support,low
Lilly Larson,1.0,0.92,5.0,161.0,3.0,1,0,support,low
Leila Mack,0.59,0.81,4.0,200.0,2.0,0,0,support,low
Lawrence Todd,0.98,0.55,4.0,255.0,2.0,0,0,support,low
Floyd Barker,0.35,0.5,5.0,227.0,2.0,0,0,support,low
Hannah Wong,0.42,0.96,3.0,270.0,6.0,0,0,support,low
Glen Norton,0.61,0.85,5.0,230.0,3.0,0,0,support,low
Fannie Santos,0.78,0.72,5.0,270.0,3.0,1,0,technical,low
Dale Stewart,0.93,0.52,4.0,200.0,3.0,0,0,technical,low
Ronnie Hoffman,0.5,0.95,5.0,207.0,3.0,0,0,technical,low
Willie Leonard,0.67,0.51,5.0,182.0,3.0,0,0,management,low
Dustin Hunt,0.75,0.85,4.0,234.0,3.0,0,0,IT,low
Eva Roberson,0.79,0.51,4.0,237.0,2.0,0,0,IT,low
Craig Rodriquez,0.84,0.89,4.0,187.0,2.0,1,0,IT,low
Chase Maldonado,0.72,0.5,3.0,257.0,6.0,0,0,IT,low
Ada Mack,0.57,0.48,2.0,194.0,2.0,0,0,IT,low
Cecilia Yates,0.73,0.52,4.0,162.0,3.0,0,0,product_mng,low
Lucy Ramos,0.74,0.58,4.0,148.0,2.0,0,0,product_mng,medium
Jordan Smith,0.52,0.83,4.0,210.0,2.0,0,0,product_mng,medium
Nina Jensen,0.56,0.76,3.0,213.0,2.0,1,0,product_mng,medium
Hannah Walker,0.76,0.68,4.0,189.0,2.0,1,0,IT,medium
Lizzie Hardy,0.82,0.93,4.0,185.0,2.0,0,0,RandD,medium
Curtis Carpenter,0.76,0.83,3.0,186.0,2.0,1,0,RandD,medium
Edith Young,0.62,0.59,3.0,128.0,3.0,0,0,RandD,medium
Isaiah Fuller,0.48,0.8,4.0,268.0,3.0,0,0,RandD,medium
Milton Wells,0.64,0.77,3.0,213.0,3.0,1,0,RandD,medium
Lenora Gregory,0.74,0.82,4.0,142.0,2.0,0,0,marketing,medium
Sophia Bass,0.52,0.43,2.0,199.0,2.0,0,0,sales,medium
Daniel Turner,0.67,0.5,4.0,157.0,2.0,0,0,accounting,medium
Wesley Palmer,0.71,0.76,5.0,172.0,2.0,1,0,support,high
Oscar Aguilar,0.72,0.63,3.0,176.0,3.0,1,0,technical,low
Danny Johnston,0.33,0.58,2.0,183.0,2.0,0,0,management,medium
Julia Holt,0.91,0.56,4.0,270.0,2.0,0,0,marketing,medium
Douglas Silva,0.88,0.68,5.0,157.0,4.0,1,0,marketing,medium
Stella Gill,0.96,0.6,4.0,185.0,3.0,0,0,marketing,medium
Ray Fletcher,0.97,0.68,3.0,167.0,3.0,0,0,sales,low
Jon Henry,0.27,0.59,5.0,226.0,5.0,0,0,sales,low
Catherine Paul,0.65,0.64,3.0,223.0,4.0,0,0,sales,low
Fannie Henderson,0.68,0.73,3.0,257.0,3.0,0,0,sales,low
Dorothy Carpenter,0.68,0.46,4.0,143.0,3.0,0,0,sales,low
Ryan Norris,0.69,0.74,3.0,215.0,2.0,0,0,sales,low
Estelle Duncan,0.79,0.99,3.0,194.0,4.0,0,0,sales,low
Cody Henry,0.74,0.92,5.0,193.0,3.0,0,0,sales,low
Chester Ortega,0.8,0.83,3.0,163.0,3.0,0,0,sales,low
Harry Bryant,0.38,0.94,5.0,252.0,5.0,0,0,sales,low
Caroline Cummings,0.26,0.83,3.0,168.0,3.0,0,0,sales,low
Lilly Hale,0.81,0.86,3.0,231.0,3.0,0,0,sales,low
Charles Duncan,0.67,0.54,2.0,141.0,2.0,0,0,sales,low
John McDaniel,0.55,0.81,4.0,260.0,2.0,0,0,sales,low
Olive Erickson,0.87,0.71,3.0,132.0,2.0,0,0,sales,low
Blake Rodriguez,0.46,0.69,2.0,159.0,2.0,0,0,sales,low
Herman Chandler,0.63,0.57,4.0,177.0,3.0,1,0,sales,low
Aaron Bowman,0.54,0.96,4.0,248.0,3.0,0,0,sales,low
Nelle Jackson,1.0,0.49,3.0,185.0,2.0,0,0,sales,low
Jeffery Scott,0.97,0.66,4.0,149.0,2.0,0,0,accounting,low
Lydia Carson,0.9,0.92,3.0,152.0,3.0,0,0,accounting,low
Mable Glover,0.75,0.7,3.0,129.0,3.0,0,0,accounting,medium
Alice Wilson,0.92,0.84,4.0,208.0,2.0,0,0,hr,medium
Derrick McKenzie,0.8,0.94,4.0,136.0,2.0,0,0,hr,medium
Hettie Perkins,0.57,0.81,3.0,142.0,2.0,0,0,hr,medium
Gilbert Barnett,0.81,0.94,3.0,225.0,4.0,0,0,hr,medium
Cody Miles,0.64,0.6,3.0,143.0,3.0,0,0,technical,medium
Chris Sharp,0.71,0.54,4.0,215.0,3.0,0,0,technical,medium
Elizabeth Guerrero,0.35,0.58,3.0,229.0,6.0,1,0,technical,medium
Pauline Mitchell,0.88,0.81,5.0,193.0,5.0,0,0,technical,medium
Francis Marsh,0.13,0.59,5.0,160.0,5.0,0,0,technical,medium
Jeremiah Henderson,0.82,0.73,4.0,195.0,5.0,1,0,technical,medium
Mildred Hardy,0.17,0.92,4.0,189.0,2.0,0,0,technical,medium
Jorge Sims,0.21,0.82,4.0,207.0,5.0,0,0,technical,high
Ophelia Day,0.89,0.47,4.0,108.0,3.0,0,0,technical,low
Viola Fleming,0.2,0.72,6.0,224.0,4.0,0,0,technical,medium
Martha Tyler,0.99,0.81,5.0,180.0,3.0,1,0,technical,medium
Pauline Leonard,0.26,0.85,6.0,152.0,4.0,0,0,support,medium
Elsie Garrett,0.22,0.53,4.0,244.0,2.0,0,0,support,medium
Inez Cummings,0.79,0.84,3.0,176.0,3.0,0,0,support,low
Addie Sutton,0.73,0.79,4.0,145.0,2.0,1,0,support,low
Millie Ortega,0.83,0.54,3.0,149.0,3.0,0,0,support,low
Elsie Saunders,0.42,0.54,3.0,122.0,4.0,0,0,support,low
Evelyn Terry,0.18,0.8,2.0,110.0,5.0,0,0,support,low
Theresa Clayton,0.92,0.91,4.0,222.0,2.0,0,0,support,low
Sara Mack,0.87,0.52,3.0,237.0,3.0,0,0,support,low
Oscar Lamb,0.72,0.65,4.0,224.0,3.0,0,0,support,low
Victoria Kennedy,0.64,0.58,5.0,115.0,5.0,0,0,support,low
Elsie Neal,1.0,0.66,4.0,180.0,3.0,0,0,technical,low
Roxie Lyons,0.83,0.65,4.0,162.0,3.0,0,0,technical,low
Christine Hunt,0.98,0.58,4.0,136.0,3.0,0,0,technical,low
Sarah Mendoza,0.7,0.87,3.0,260.0,2.0,0,0,management,low
Jorge Rowe,0.9,0.79,4.0,150.0,2.0,0,0,IT,low
Bertha Sanders,0.55,0.99,4.0,248.0,3.0,0,0,IT,low
Elijah Moss,0.78,0.84,3.0,233.0,3.0,1,0,IT,low
Gregory Peterson,0.89,0.53,5.0,272.0,3.0,0,0,IT,low
Chad Murray,0.17,0.59,3.0,197.0,5.0,0,0,IT,low
Derek Montgomery,0.14,0.64,5.0,164.0,5.0,0,0,product_mng,low
Stanley Carson,0.85,0.57,4.0,216.0,2.0,0,0,product_mng,low
Emily Weaver,0.84,0.79,4.0,266.0,3.0,1,0,product_mng,low
Don Briggs,0.7,0.69,3.0,102.0,4.0,1,0,product_mng,medium
Ida Neal,0.16,0.98,5.0,284.0,5.0,0,0,IT,medium
Eric Welch,0.51,0.69,3.0,145.0,2.0,1,0,RandD,medium
Lillian Davis,0.6,0.89,3.0,167.0,4.0,0,0,RandD,medium
Tony Mann,0.5,0.63,3.0,172.0,2.0,0,0,RandD,medium
Cameron Floyd,0.43,0.39,5.0,198.0,5.0,0,0,RandD,medium
Matilda Day,0.5,0.7,4.0,201.0,4.0,0,0,RandD,medium
Ricardo Newton,0.91,0.89,4.0,197.0,4.0,0,0,marketing,medium
Beatrice Quinn,0.65,0.93,4.0,270.0,2.0,0,0,sales,medium
Steven Stokes,0.59,0.52,2.0,149.0,3.0,0,0,accounting,medium
Lawrence Banks,0.89,0.56,3.0,256.0,3.0,0,0,support,medium
Virginia Erickson,0.97,0.6,3.0,162.0,3.0,0,0,technical,medium
Mattie Bridges,0.56,0.97,5.0,163.0,2.0,0,0,management,high
Winnie Patton,0.76,0.93,3.0,266.0,3.0,1,0,marketing,low
Mildred Caldwell,0.28,0.55,4.0,208.0,4.0,0,0,marketing,medium
Alfred Lawrence,0.75,0.51,4.0,138.0,4.0,0,0,marketing,medium
Effie Morris,0.78,0.81,4.0,232.0,3.0,0,0,sales,medium
Teresa Gray,0.26,0.63,6.0,100.0,4.0,0,0,sales,medium
Lewis Frazier,0.53,0.72,2.0,172.0,5.0,0,0,sales,low
Virgie Phillips,0.25,0.41,3.0,133.0,6.0,1,0,sales,low
Alan Reese,0.82,0.51,3.0,234.0,3.0,0,0,sales,low
Lula Delgado,0.71,0.57,2.0,183.0,4.0,0,0,sales,low
Cole Garza,0.61,0.95,4.0,174.0,4.0,0,0,sales,low
Jay Hicks,0.89,0.68,3.0,175.0,2.0,0,0,sales,low
Arthur Shaw,0.57,0.78,3.0,109.0,3.0,1,0,sales,low
Lura Maxwell,0.93,0.8,4.0,248.0,3.0,0,0,sales,low
Rosetta McCarthy,0.61,0.84,5.0,104.0,4.0,0,0,sales,low
Gavin Schultz,0.56,0.62,3.0,154.0,2.0,0,0,sales,low
Steve Smith,0.7,0.89,6.0,214.0,2.0,0,0,sales,low
Rachel Ford,0.9,0.64,4.0,209.0,4.0,0,0,sales,low
Jay Miller,0.15,0.74,6.0,212.0,2.0,0,0,sales,low
Elizabeth Bowman,0.39,0.36,3.0,168.0,3.0,1,0,sales,low
Vera Ray,0.74,0.72,4.0,176.0,3.0,0,0,sales,low
Russell Manning,0.7,0.61,4.0,163.0,4.0,1,0,sales,low
Max Burgess,0.72,0.93,4.0,148.0,2.0,0,0,sales,low
Stanley Rodriguez,0.61,0.97,3.0,137.0,3.0,0,0,accounting,low
Scott Kelly,0.96,1.0,5.0,162.0,3.0,0,0,accounting,low
Adele Schwartz,0.7,0.59,4.0,216.0,3.0,0,0,accounting,low
Minerva Cain,0.92,0.49,3.0,240.0,2.0,0,0,hr,low
Essie Jacobs,0.72,0.56,4.0,176.0,2.0,0,0,hr,medium
Ralph Murray,0.53,0.75,6.0,192.0,6.0,0,0,hr,medium
Hilda Cole,0.67,0.85,3.0,160.0,4.0,0,0,hr,medium
Lela Wells,0.78,0.8,4.0,194.0,2.0,1,0,technical,medium
Winifred Byrd,0.53,0.75,4.0,239.0,2.0,1,0,technical,medium
Gussie Tate,0.9,0.48,4.0,204.0,3.0,0,0,technical,medium
Maggie Davidson,0.16,0.9,5.0,258.0,3.0,0,0,technical,medium
Leon Hines,0.62,0.38,3.0,257.0,3.0,0,0,technical,medium
Evelyn Houston,0.62,0.98,4.0,137.0,3.0,0,0,technical,medium
Bettie Hunter,0.22,0.52,6.0,175.0,4.0,0,0,technical,medium
Owen Fuller,0.91,0.82,3.0,183.0,3.0,0,0,technical,medium
Jeremiah Hansen,0.87,0.74,4.0,190.0,4.0,0,0,technical,medium
Charlotte Cruz,0.95,0.69,3.0,225.0,2.0,0,0,technical,high
Dominic Murphy,0.99,0.75,3.0,215.0,3.0,0,0,technical,low
Lillie Payne,0.99,0.57,3.0,176.0,4.0,1,0,support,medium
Francis Sherman,0.77,0.99,4.0,153.0,3.0,1,0,support,medium
Edgar Dunn,0.75,0.68,3.0,150.0,2.0,1,0,support,medium
Alex Robinson,0.83,0.54,4.0,259.0,5.0,0,0,support,medium
Emilie Leonard,0.61,0.39,3.0,99.0,2.0,0,0,support,low
Effie Murphy,0.91,0.97,3.0,167.0,2.0,0,0,support,low
Marion Cobb,0.47,0.64,3.0,192.0,3.0,0,0,support,low
Flora Warner,0.77,0.61,5.0,146.0,3.0,0,0,support,low
Isabel Gill,0.55,0.51,3.0,190.0,3.0,0,0,support,low
Virginia Turner,0.32,0.48,5.0,246.0,3.0,0,0,support,low
Timothy Lopez,0.96,0.67,6.0,190.0,3.0,0,0,support,low
Lora Bryant,0.72,0.79,5.0,260.0,2.0,0,0,technical,low
Evan Jenkins,0.8,0.9,4.0,136.0,3.0,0,0,technical,low
Chase Bishop,0.61,0.55,4.0,231.0,3.0,0,0,technical,low
Stella Dean,0.97,0.88,3.0,204.0,2.0,0,0,management,low
Wayne Holland,0.63,0.93,4.0,201.0,3.0,0,0,IT,low
Eleanor Duncan,0.92,0.92,3.0,159.0,3.0,0,0,IT,low
Don Campbell,0.94,0.74,5.0,171.0,3.0,0,0,IT,low
Clayton Nelson,0.79,0.72,6.0,240.0,4.0,0,0,IT,low
Jon Ray,0.75,0.73,2.0,152.0,4.0,0,0,IT,low
Mattie Rodriquez,0.78,0.99,3.0,151.0,3.0,1,0,product_mng,low
Clarence Phillips,0.96,0.45,6.0,232.0,2.0,1,0,product_mng,low
Norman Goodwin,0.65,0.68,4.0,128.0,5.0,0,0,product_mng,low
Kevin Gibson,0.18,0.94,3.0,187.0,6.0,1,0,product_mng,low
Leah Beck,0.94,0.51,3.0,160.0,2.0,0,0,IT,low
Florence Patton,0.84,0.79,4.0,259.0,3.0,0,0,RandD,medium
Michael Alexander,0.67,0.54,2.0,136.0,2.0,0,0,RandD,medium
Chad Alvarez,0.71,0.5,4.0,253.0,3.0,0,0,RandD,medium
Mina Gill,0.56,0.64,3.0,260.0,3.0,0,0,RandD,medium
George Mathis,0.29,0.56,5.0,231.0,6.0,0,0,RandD,medium
Adam Owen,0.47,0.9,3.0,101.0,2.0,1,0,marketing,medium
Marc Perkins,0.4,0.69,2.0,174.0,3.0,0,0,sales,medium
Sallie Massey,0.81,0.82,4.0,167.0,2.0,0,0,accounting,medium
Birdie Johnston,0.96,0.99,3.0,148.0,3.0,0,0,support,medium
Virgie Stewart,0.99,0.75,6.0,139.0,5.0,1,0,technical,medium
Dominic Bryan,0.75,0.77,4.0,136.0,3.0,0,0,management,medium
Leon Buchanan,0.75,0.74,4.0,153.0,2.0,0,0,marketing,medium
Mabelle Barber,1.0,0.86,4.0,161.0,2.0,0,0,marketing,high
Ricardo Moreno,0.52,0.53,2.0,163.0,2.0,0,0,marketing,low
Willie Rose,0.98,0.74,3.0,164.0,3.0,0,0,sales,medium
Johanna Rowe,0.6,0.64,2.0,137.0,5.0,0,0,sales,medium
Laura Osborne,0.38,0.44,3.0,137.0,3.0,0,0,sales,medium
Randall Walters,0.51,0.41,6.0,106.0,5.0,0,0,sales,medium
Verna French,0.91,0.61,2.0,272.0,2.0,0,0,sales,low
Sam Bryan,0.56,0.62,5.0,238.0,3.0,0,0,sales,low
Lillie Nunez,0.58,0.69,4.0,223.0,4.0,0,0,sales,low
Carlos Aguilar,0.51,0.53,3.0,201.0,2.0,0,0,sales,low
Sean Frank,0.91,0.55,6.0,97.0,4.0,0,0,sales,low
Chris Woods,0.8,0.98,2.0,232.0,6.0,1,0,sales,low
Ollie Pittman,0.55,0.83,4.0,199.0,3.0,0,0,sales,low
Dylan Maldonado,0.62,0.53,3.0,141.0,3.0,0,0,sales,low
Cordelia Parsons,0.62,0.6,3.0,171.0,2.0,0,0,sales,low
Alan Murphy,0.87,0.58,4.0,212.0,3.0,0,0,sales,low
Katie Briggs,0.65,0.5,5.0,270.0,2.0,0,0,sales,low
Randall Nichols,0.51,0.64,3.0,267.0,2.0,0,0,sales,low
Eliza Joseph,0.98,0.77,3.0,134.0,2.0,1,0,sales,low
Dylan Allison,0.13,0.43,4.0,165.0,5.0,0,0,sales,low
Mason Ramirez,0.78,0.76,5.0,168.0,4.0,1,0,sales,low
Cornelia Wilkerson,0.6,0.98,3.0,262.0,2.0,0,0,accounting,low
Cameron Lee,0.68,0.69,3.0,185.0,2.0,0,0,accounting,low
Myra Woods,0.55,0.84,3.0,237.0,3.0,0,0,accounting,low
Henry James,0.99,0.79,4.0,192.0,3.0,0,0,hr,low
Timothy James,0.92,0.68,5.0,236.0,2.0,0,0,hr,low
Ruby Dunn,1.0,0.65,4.0,202.0,4.0,1,0,hr,low
Grace Carr,0.77,0.93,4.0,171.0,2.0,0,0,hr,medium
Jackson McKenzie,0.86,0.7,5.0,160.0,3.0,0,0,technical,medium
Lela Lyons,0.89,0.84,2.0,252.0,3.0,0,0,technical,medium
Tony Walsh,0.58,0.55,5.0,206.0,3.0,0,0,technical,medium
Augusta Hale,0.56,0.66,3.0,212.0,2.0,0,0,technical,medium
Josephine Vaughn,0.38,0.64,3.0,111.0,3.0,0,0,technical,medium
Myrtle Johnson,0.62,0.64,3.0,240.0,2.0,0,0,technical,medium
Ollie Peters,0.66,0.77,2.0,171.0,2.0,0,0,technical,medium
Bill Baker,0.3,0.44,3.0,129.0,2.0,0,0,technical,medium
Dorothy Jones,0.82,0.83,3.0,271.0,2.0,0,0,technical,medium
Jacob Watts,0.96,0.68,4.0,162.0,2.0,0,0,technical,medium
Emily Benson,0.66,0.95,3.0,191.0,3.0,0,0,technical,medium
Bess Norton,0.79,0.5,5.0,176.0,3.0,0,0,support,high
Irene Simpson,0.97,0.77,3.0,182.0,2.0,1,0,support,low
Cameron Griffith,0.59,0.65,3.0,226.0,3.0,0,0,support,medium
Bettie Potter,0.57,0.48,4.0,161.0,3.0,0,0,support,medium
Gavin Watson,0.64,0.53,4.0,163.0,3.0,0,0,support,medium
Dustin Clayton,0.14,0.51,5.0,173.0,4.0,0,0,support,medium
Andrew Owen,0.48,0.55,3.0,228.0,2.0,0,0,support,low
Zachary Matthews,0.78,1.0,3.0,139.0,3.0,0,0,support,low
William Leonard,0.96,0.62,5.0,128.0,5.0,0,0,support,low
Abbie Carroll,0.82,0.97,3.0,115.0,2.0,1,0,support,low
Glen Pratt,0.94,0.9,5.0,191.0,4.0,0,0,support,low
Emma Sanchez,0.95,0.66,4.0,183.0,3.0,0,0,technical,low
Evelyn Castro,0.59,0.43,3.0,173.0,3.0,0,0,technical,low
Hannah Sparks,0.69,0.89,4.0,174.0,2.0,0,0,technical,low
Hilda Parks,0.74,0.72,3.0,213.0,3.0,0,0,management,low
Christina Bishop,0.67,0.67,4.0,192.0,4.0,0,0,IT,low
Norman Padilla,0.83,0.52,3.0,167.0,2.0,1,0,IT,low
Sam McKenzie,0.81,0.85,3.0,263.0,3.0,1,0,IT,low
Dennis Buchanan,0.54,0.73,2.0,100.0,3.0,0,0,IT,low
Sam Pena,0.89,0.83,3.0,164.0,3.0,0,0,IT,low
Francis McKinney,0.79,0.74,5.0,172.0,2.0,0,0,product_mng,low
Willie Park,0.46,0.58,4.0,171.0,3.0,0,0,product_mng,low
Nathaniel Cannon,0.99,0.93,4.0,236.0,3.0,0,0,product_mng,low
Brent Dawson,0.75,0.9,5.0,186.0,4.0,0,0,product_mng,low
Lottie Campbell,0.93,0.82,4.0,175.0,3.0,0,0,IT,low
Lydia Ramsey,0.65,0.6,5.0,227.0,3.0,0,0,RandD,low
Inez Richardson,0.19,0.63,4.0,142.0,6.0,0,0,RandD,low
Gregory Rowe,0.48,0.61,2.0,121.0,2.0,0,0,RandD,medium
Lloyd Bell,0.95,0.64,5.0,234.0,3.0,0,0,RandD,medium
Martha Swanson,0.92,0.77,4.0,185.0,3.0,0,0,RandD,medium
Julian Daniels,0.84,0.54,4.0,160.0,3.0,0,0,marketing,medium
Augusta Miller,0.37,0.63,4.0,153.0,3.0,1,0,sales,medium
