EmpName,left,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,promotion_last_5years,Department,salary
Harriet Gutierrez,1,0.09,0.94,7.0,267.0,4.0,0,0,sales,medium
Noah Francis,1,0.43,0.52,2.0,158.0,3.0,0,0,sales,medium
Eddie Mack,1,0.24,0.46,7.0,224.0,5.0,0,0,accounting,medium
Violet Stanley,1,0.91,1.0,4.0,257.0,5.0,0,0,accounting,medium
Brandon Lewis,1,0.44,0.5,2.0,148.0,3.0,0,0,accounting,medium
Genevieve Tyler,1,0.71,0.87,3.0,177.0,4.0,0,0,hr,medium
Chester Ferguson,1,0.4,0.49,2.0,155.0,3.0,0,0,hr,medium
Russell Lindsey,1,0.43,0.47,2.0,144.0,3.0,0,0,hr,medium
Daisy Parker,1,0.09,0.85,6.0,289.0,4.0,0,0,hr,high
Luke Chavez,1,0.43,0.52,2.0,160.0,3.0,0,0,technical,low
Scott Freeman,1,0.9,0.96,4.0,258.0,5.0,0,0,technical,medium
Adeline Cohen,1,0.84,1.0,5.0,234.0,5.0,0,0,technical,medium
Elsie Bowers,1,0.37,0.48,2.0,137.0,3.0,0,0,technical,medium
Lucille Stone,1,0.86,0.68,5.0,263.0,2.0,0,0,technical,medium
Sallie Briggs,1,0.11,0.84,6.0,251.0,4.0,0,0,technical,low
Albert Maldonado,1,0.37,0.57,2.0,133.0,3.0,0,0,technical,low
Isabella Cohen,1,0.4,0.46,2.0,132.0,3.0,0,0,technical,low
Jordan Simmons,1,0.14,0.62,4.0,158.0,4.0,1,0,technical,low
Fanny Townsend,1,0.4,0.46,2.0,135.0,3.0,0,0,technical,low
Evelyn Kim,1,0.75,1.0,4.0,216.0,6.0,0,0,technical,low
Alice McKenzie,1,0.11,0.84,6.0,300.0,5.0,1,0,support,low
Melvin Gibson,1,0.46,0.49,2.0,138.0,3.0,0,0,support,low
Helena Martinez,1,0.11,0.92,6.0,260.0,4.0,0,0,support,low
Bess Obrien,1,0.38,0.49,2.0,132.0,3.0,0,0,support,low
Madge Maldonado,1,0.7,0.89,3.0,183.0,5.0,0,0,support,low
Lucille Cruz,1,0.09,0.82,6.0,250.0,4.0,0,0,support,low
Christian Cain,1,0.37,0.45,2.0,151.0,3.0,0,0,support,low
Jesus Castro,1,0.1,0.83,6.0,292.0,4.0,0,0,support,low
Kyle Erickson,1,0.38,0.57,2.0,140.0,3.0,0,0,support,low
Anthony Kelly,1,0.9,1.0,5.0,221.0,5.0,0,0,support,low
Luis Massey,1,0.44,0.51,2.0,138.0,3.0,0,0,support,low
Nancy Jacobs,1,0.36,0.5,2.0,132.0,3.0,0,0,technical,low
Nannie Willis,1,0.31,0.84,7.0,133.0,5.0,0,0,technical,low
Eugene Henderson,1,0.1,0.84,6.0,283.0,4.0,1,0,technical,low
Kyle Bennett,1,0.42,0.48,2.0,129.0,3.0,0,0,management,low
Brian Gordon,1,0.74,1.0,4.0,249.0,5.0,0,0,IT,low
Seth Maldonado,1,0.73,0.87,5.0,257.0,5.0,0,0,IT,low
Leo Banks,1,0.09,0.96,6.0,245.0,4.0,0,0,IT,low
Maud Robinson,1,0.45,0.53,2.0,155.0,3.0,0,0,IT,low
Cole Clayton,1,0.11,0.8,6.0,256.0,4.0,0,0,IT,low
Patrick Montgomery,1,0.37,0.47,2.0,152.0,3.0,0,0,product_mng,low
Mitchell Bell,1,0.84,0.99,4.0,267.0,5.0,0,0,product_mng,low
Troy McGee,1,0.41,0.46,2.0,151.0,3.0,0,0,product_mng,low
Kate Sanders,1,0.76,0.92,4.0,239.0,5.0,0,0,product_mng,low
Jane Flores,1,0.11,0.87,6.0,306.0,4.0,0,0,IT,low
Marian Luna,1,0.84,0.88,4.0,263.0,5.0,1,0,marketing,low
Joe Bryan,1,0.39,0.5,2.0,147.0,3.0,0,0,marketing,low
Hilda Becker,1,0.11,0.91,6.0,278.0,4.0,0,0,marketing,low
Jorge Warner,1,0.45,0.56,2.0,154.0,3.0,0,0,marketing,low
Lucile Hunter,1,0.37,0.52,2.0,143.0,3.0,0,0,marketing,low
Phoebe Miles,1,0.4,0.52,2.0,155.0,3.0,0,0,marketing,low
Mable Santiago,1,0.39,0.48,2.0,160.0,3.0,0,0,sales,low
Brian Peterson,1,0.11,0.8,6.0,304.0,4.0,0,0,accounting,low
Evan Rowe,1,0.83,1.0,5.0,240.0,5.0,0,0,support,low
Johnny Palmer,1,0.11,0.92,6.0,305.0,4.0,0,0,technical,low
Norman Campbell,1,0.39,0.5,2.0,136.0,3.0,0,0,management,low
Luke Wise,1,0.45,0.45,2.0,132.0,3.0,0,0,marketing,low
Alexander Mack,1,0.1,0.95,7.0,301.0,4.0,0,0,marketing,low
Austin Salazar,1,0.9,0.98,5.0,243.0,6.0,0,0,marketing,low
Oscar Gordon,1,0.45,0.51,2.0,147.0,3.0,0,0,sales,low
Isaiah Goodwin,1,0.79,0.89,5.0,239.0,5.0,0,0,sales,low
Ian McCoy,1,0.9,0.99,5.0,260.0,5.0,0,0,sales,low
Mathilda Reid,1,0.11,0.84,7.0,296.0,4.0,0,0,sales,low
Marcus Cunningham,1,0.43,0.55,2.0,129.0,3.0,0,0,sales,low
Craig Clarke,1,0.31,0.54,5.0,132.0,5.0,0,0,sales,low
Norman Henderson,1,0.32,0.5,2.0,135.0,5.0,0,0,sales,low
Jackson Barnett,1,0.45,0.57,2.0,158.0,3.0,0,0,sales,low
Brent Guerrero,1,0.81,0.99,4.0,259.0,5.0,0,0,sales,low
Gene Mack,1,0.41,0.46,2.0,160.0,3.0,0,1,sales,low
Cora Ortega,1,0.11,0.78,7.0,278.0,4.0,0,0,sales,low
Lena Logan,1,0.1,0.88,6.0,284.0,4.0,0,0,sales,low
Jayden Vaughn,1,0.7,0.53,2.0,274.0,4.0,0,0,sales,low
Jeanette Cruz,1,0.54,0.74,4.0,164.0,2.0,0,0,sales,low
Lottie James,1,0.41,0.48,2.0,148.0,3.0,0,0,sales,low
Lucy Carr,1,0.38,0.5,2.0,140.0,3.0,0,0,sales,medium
Duane Shelton,1,0.37,0.51,2.0,127.0,3.0,0,0,sales,medium
Sallie Beck,1,0.11,0.85,6.0,308.0,5.0,0,0,sales,medium
Austin Parks,1,0.4,0.47,2.0,146.0,3.0,0,0,sales,medium
Emma Henry,1,0.1,0.84,6.0,261.0,4.0,0,0,accounting,medium
Cornelia Rice,1,0.89,0.99,5.0,257.0,5.0,0,0,accounting,medium
Cory Stokes,1,0.11,0.8,6.0,285.0,4.0,0,0,accounting,medium
Christina Tucker,1,0.36,0.55,2.0,141.0,3.0,0,0,hr,medium
Nina Atkins,1,0.4,0.46,2.0,127.0,3.0,0,0,hr,medium
Hilda Armstrong,1,0.09,0.85,6.0,297.0,4.0,0,0,hr,medium
Micheal Bowman,1,0.4,0.46,2.0,143.0,3.0,0,0,hr,medium
Stephen Ingram,1,0.37,0.55,2.0,152.0,3.0,0,0,technical,medium
Lois Wolfe,1,0.44,0.51,2.0,156.0,3.0,0,0,technical,high
Brandon Davidson,1,0.09,0.8,7.0,283.0,5.0,0,0,technical,low
John May,1,0.92,0.87,4.0,226.0,6.0,1,0,technical,medium
Lora Shelton,1,0.74,0.91,4.0,232.0,5.0,0,0,technical,medium
Wayne Schmidt,1,0.09,0.82,6.0,249.0,4.0,0,0,technical,medium
Adelaide Simmons,1,0.89,0.95,4.0,275.0,5.0,0,0,technical,medium
Harvey Medina,1,0.09,0.8,6.0,304.0,4.0,0,0,technical,low
Tommy Reese,1,0.27,0.54,7.0,278.0,3.0,0,0,technical,low
Winifred Bowen,1,0.1,0.91,6.0,287.0,4.0,0,0,technical,low
Rena Gonzales,1,0.1,0.89,7.0,285.0,4.0,0,0,technical,low
Jayden Ramirez,1,0.77,0.94,5.0,226.0,6.0,0,0,support,low
Adelaide Kennedy,1,0.9,0.82,5.0,259.0,5.0,0,0,support,low
Bertie Sutton,1,0.39,0.5,2.0,135.0,3.0,0,0,support,low
Sam Spencer,1,0.76,1.0,5.0,219.0,5.0,0,0,support,low
Carolyn Ray,1,0.1,0.93,6.0,256.0,4.0,0,0,support,low
Alfred Snyder,1,0.87,0.9,5.0,254.0,6.0,0,0,support,low
Birdie Shaw,1,0.38,0.5,2.0,153.0,3.0,0,0,support,low
Craig Brooks,1,0.77,0.99,5.0,228.0,5.0,0,0,support,low
Richard Bryan,1,0.78,0.87,4.0,228.0,5.0,0,0,support,low
Chad Baldwin,1,0.44,0.5,2.0,128.0,3.0,0,0,support,low
Rachel Gibson,1,0.38,0.52,2.0,153.0,3.0,0,0,support,low
Ralph Reyes,1,0.43,0.46,2.0,156.0,3.0,0,0,technical,low
Leah Diaz,1,0.39,0.5,4.0,294.0,3.0,0,0,technical,low
Maude Lambert,1,0.88,1.0,5.0,219.0,5.0,0,0,technical,low
Gordon Lucas,1,0.45,0.46,2.0,153.0,3.0,0,0,management,low
Mayme Harper,1,0.4,0.53,2.0,151.0,3.0,0,0,IT,low
Matilda Abbott,1,0.36,0.51,2.0,155.0,3.0,0,0,IT,low
Hallie Bradley,1,0.36,0.48,2.0,158.0,3.0,0,0,IT,low
Lucinda Terry,1,0.9,0.98,5.0,245.0,5.0,0,0,IT,low
Sadie Mann,1,0.43,0.53,2.0,131.0,3.0,0,0,IT,low
Jimmy Austin,1,0.89,0.87,5.0,225.0,5.0,0,0,product_mng,low
Florence Lawson,1,0.1,0.84,6.0,286.0,4.0,0,0,product_mng,low
Edward Figueroa,1,0.37,0.5,2.0,135.0,3.0,0,0,product_mng,low
Samuel Page,1,0.37,0.51,2.0,153.0,3.0,0,0,product_mng,low
Myra Brown,1,0.87,0.9,5.0,252.0,5.0,0,0,IT,low
Ethan Newton,1,0.4,0.56,2.0,149.0,3.0,0,0,accounting,low
Estella Diaz,1,0.9,0.97,4.0,258.0,5.0,0,0,accounting,low
Barry McGee,1,0.37,0.46,2.0,158.0,3.0,0,0,hr,low
Kate Brock,1,0.44,0.54,2.0,149.0,3.0,0,0,hr,low
Katherine Todd,1,0.85,0.95,5.0,236.0,5.0,0,0,hr,low
Sylvia King,1,0.78,0.98,5.0,239.0,6.0,0,0,marketing,low
Lee Moran,1,0.42,0.47,2.0,159.0,3.0,0,0,marketing,low
Cameron Aguilar,1,0.92,0.99,5.0,255.0,6.0,0,0,sales,low
Bernard Douglas,1,0.11,0.83,6.0,244.0,4.0,0,0,accounting,low
Jackson Jones,1,0.42,0.56,2.0,134.0,3.0,0,0,support,low
Shawn Gonzalez,1,0.48,0.57,4.0,270.0,4.0,0,0,technical,low
Sean West,1,0.83,0.85,4.0,255.0,5.0,0,0,management,low
Nettie Vaughn,1,0.4,0.53,2.0,151.0,3.0,0,0,marketing,low
Sophia Townsend,1,0.43,0.45,2.0,135.0,3.0,0,0,marketing,low
Melvin Bass,1,0.43,0.53,2.0,146.0,3.0,0,0,marketing,low
Luke Collier,1,0.1,0.97,7.0,254.0,4.0,0,0,sales,low
Shawn Payne,1,0.1,0.87,7.0,289.0,4.0,0,0,sales,low
Tom Bridges,1,0.37,0.46,2.0,156.0,3.0,0,0,sales,low
Theodore Gonzalez,1,0.38,0.53,2.0,156.0,3.0,0,0,sales,low
Helen Perkins,1,0.4,0.5,2.0,128.0,3.0,0,0,sales,low
Bess Daniel,1,0.89,0.86,5.0,275.0,5.0,0,0,sales,low
Hannah Johnson,1,0.45,0.46,2.0,155.0,3.0,0,0,sales,low
Brian Lynch,1,0.37,0.48,2.0,159.0,3.0,0,0,sales,low
Daisy Daniels,1,0.46,0.49,2.0,148.0,3.0,0,0,sales,low
Abbie Terry,1,0.87,0.91,4.0,228.0,5.0,0,0,sales,low
Lillian Nelson,1,0.11,0.84,6.0,298.0,4.0,0,0,sales,low
Lela Douglas,1,0.79,0.87,5.0,261.0,5.0,0,0,sales,low
Carlos Schmidt,1,0.79,0.92,5.0,254.0,6.0,0,0,sales,low
Ella Washington,1,0.19,0.59,7.0,192.0,3.0,0,0,sales,low
Norman Reyes,1,0.87,0.98,4.0,248.0,5.0,0,0,sales,low
Jason Pierce,1,0.6,0.92,2.0,258.0,5.0,0,0,sales,low
Lora Harper,1,0.44,0.45,2.0,156.0,3.0,0,0,sales,medium
Blake Morton,1,0.11,0.81,6.0,266.0,4.0,1,0,sales,medium
Anthony Nichols,1,0.42,0.54,2.0,156.0,3.0,0,0,sales,medium
Curtis French,1,0.88,0.88,5.0,232.0,5.0,1,0,accounting,medium
Jordan Stokes,1,0.11,0.84,6.0,287.0,4.0,0,0,accounting,medium
Earl Blair,1,0.46,0.46,2.0,154.0,3.0,0,0,accounting,medium
Jane Peters,1,0.82,0.97,5.0,263.0,5.0,0,0,hr,medium
Max Logan,1,0.44,0.56,2.0,131.0,3.0,0,0,hr,medium
Christopher Frank,1,0.11,0.78,6.0,260.0,4.0,0,0,hr,medium
Christina Grant,1,0.42,0.5,2.0,139.0,3.0,0,0,hr,medium
Blanche Gutierrez,1,0.84,0.93,4.0,251.0,5.0,0,0,technical,medium
Fanny Zimmerman,1,0.11,0.95,6.0,286.0,4.0,0,0,technical,medium
Leroy Copeland,1,0.45,0.53,2.0,129.0,3.0,0,0,technical,high
Bradley Williamson,1,0.38,0.56,2.0,156.0,3.0,0,0,technical,low
Shane Sparks,1,0.38,0.86,6.0,139.0,6.0,0,0,technical,medium
Emma Phelps,1,0.44,0.51,2.0,127.0,3.0,0,0,technical,medium
Myra Stevenson,1,0.11,0.84,6.0,251.0,4.0,0,0,technical,medium
Warren Henry,1,0.81,0.93,5.0,270.0,5.0,0,0,technical,medium
Marion Gardner,1,0.09,0.96,6.0,296.0,4.0,0,0,technical,low
Lottie Tran,1,0.11,0.9,6.0,254.0,4.0,0,0,technical,low
Lura Lowe,1,0.81,0.95,5.0,238.0,6.0,0,0,technical,low
Mildred Cook,1,0.1,0.97,6.0,267.0,4.0,1,0,support,low
Marvin Baldwin,1,0.74,0.89,5.0,229.0,6.0,0,0,support,low
Barry Erickson,1,0.09,0.78,6.0,254.0,4.0,0,0,support,low
Adeline McBride,1,0.82,0.81,4.0,233.0,4.0,1,0,support,low
Lucas Summers,1,0.1,0.98,6.0,268.0,4.0,0,0,support,low
Teresa Mullins,1,0.27,0.56,3.0,301.0,3.0,0,0,support,low
Bill Barber,1,0.83,0.92,5.0,267.0,6.0,0,0,support,low
Keith Poole,1,0.1,0.93,6.0,289.0,4.0,1,0,support,low
Leon Salazar,1,0.38,0.47,2.0,144.0,3.0,0,0,support,low
Olga White,1,0.4,0.56,2.0,148.0,3.0,0,0,support,low
Isabel Saunders,1,0.11,0.83,6.0,306.0,4.0,0,0,support,low
Lucy Vega,1,0.11,0.79,6.0,292.0,4.0,0,1,technical,low
Dora Harmon,1,0.82,0.91,5.0,232.0,5.0,0,0,technical,low
Jeremiah Miles,1,0.36,0.48,2.0,137.0,3.0,0,0,technical,low
Miguel Pope,1,0.4,0.46,2.0,128.0,3.0,0,0,management,low
Austin Hamilton,1,0.87,0.84,5.0,231.0,5.0,0,0,IT,low
Amanda Hall,1,0.41,0.49,2.0,146.0,3.0,0,0,IT,low
Emilie Walton,1,0.11,0.91,6.0,308.0,4.0,1,0,IT,low
Lina Daniels,1,0.1,0.93,6.0,253.0,4.0,0,0,IT,medium
Dylan Atkins,1,0.38,0.51,2.0,146.0,3.0,0,0,IT,medium
Della Mack,1,0.39,0.55,2.0,156.0,3.0,0,0,product_mng,medium
Maurice Kennedy,1,0.4,0.52,2.0,147.0,3.0,0,0,product_mng,medium
Eula Bowman,1,0.45,0.48,2.0,136.0,3.0,0,0,product_mng,medium
Eula Gordon,1,0.74,0.84,5.0,249.0,5.0,0,0,product_mng,medium
Lucy Martin,1,0.45,0.55,2.0,151.0,3.0,0,0,IT,medium
Katie Floyd,1,0.12,1.0,3.0,278.0,4.0,0,0,RandD,medium
Charles Kennedy,1,0.1,0.77,7.0,250.0,5.0,0,0,RandD,medium
Lelia Hawkins,1,0.37,0.55,2.0,127.0,3.0,0,0,RandD,medium
Jeffery Casey,1,0.89,0.87,5.0,255.0,5.0,0,0,RandD,medium
Samuel Stone,1,0.45,0.47,2.0,135.0,3.0,0,0,RandD,medium
Eugene Kelly,1,0.37,0.46,2.0,149.0,3.0,0,0,marketing,high
Lula Norris,1,0.11,0.81,5.0,287.0,4.0,0,0,sales,low
Charles Morris,1,0.41,0.48,2.0,145.0,3.0,0,0,accounting,medium
Winnie Henry,1,0.1,0.94,6.0,285.0,4.0,0,0,support,medium
Elijah Brewer,1,0.1,0.93,7.0,305.0,4.0,0,0,technical,medium
Rena Owen,1,0.11,0.95,7.0,300.0,4.0,0,0,management,medium
Chester Bass,1,0.4,0.54,2.0,139.0,3.0,0,0,marketing,low
Josie Ray,1,0.41,0.49,2.0,130.0,3.0,0,0,marketing,low
Mittie Young,1,0.1,0.81,6.0,268.0,4.0,0,0,marketing,low
Mable Bryant,1,0.73,0.86,4.0,245.0,6.0,0,0,sales,low
Franklin Haynes,1,0.43,0.47,2.0,135.0,3.0,0,0,sales,low
Ida Lindsey,1,0.37,0.46,2.0,153.0,3.0,0,0,sales,low
Logan Fox,1,0.11,0.94,6.0,276.0,4.0,0,0,sales,low
Sylvia Carroll,1,0.4,0.46,2.0,130.0,3.0,0,0,sales,low
Theodore Warner,1,0.41,0.54,2.0,153.0,3.0,1,0,sales,low
Gerald Sanchez,1,0.82,0.84,5.0,244.0,5.0,0,0,sales,low
Polly Stokes,1,0.61,0.47,2.0,253.0,3.0,0,0,sales,low
Olivia Wise,1,0.11,0.91,7.0,287.0,4.0,0,0,sales,low
Esther Morrison,1,0.37,0.45,2.0,131.0,3.0,0,0,sales,low
Leonard Parsons,1,0.41,0.52,2.0,135.0,3.0,0,0,sales,low
Kathryn Morris,1,0.37,0.52,2.0,157.0,3.0,0,0,sales,low
Paul Bates,1,0.88,0.99,5.0,262.0,6.0,0,0,sales,low
Tyler Gibson,1,0.1,0.85,6.0,266.0,4.0,0,0,sales,low
Violet Luna,1,0.44,0.48,2.0,148.0,3.0,0,0,sales,low
Leonard Byrd,1,0.38,0.57,2.0,140.0,3.0,0,0,sales,low
Lola Love,1,0.11,0.85,7.0,302.0,4.0,0,0,sales,low
Tony Mack,1,0.09,0.98,6.0,271.0,4.0,0,0,sales,low
Lenora Elliott,1,0.45,0.52,2.0,145.0,3.0,0,0,sales,medium
Sara Moreno,1,0.1,0.81,6.0,290.0,4.0,0,0,accounting,medium
Gilbert Holland,1,0.45,0.47,2.0,151.0,3.0,0,0,accounting,medium
Lottie Herrera,1,0.77,0.87,5.0,266.0,5.0,0,0,accounting,medium
Stella Simmons,1,0.44,0.51,2.0,140.0,3.0,0,0,hr,medium
Ricardo Lambert,1,0.39,0.5,2.0,142.0,3.0,0,0,hr,medium
Kevin Love,1,0.1,0.91,6.0,246.0,4.0,0,0,hr,medium
Vera Conner,1,0.09,0.89,7.0,308.0,5.0,0,0,hr,medium
Beatrice Knight,1,0.37,0.47,2.0,141.0,3.0,0,0,technical,medium
Luke Cross,1,0.9,1.0,5.0,232.0,5.0,0,0,technical,medium
Adrian Becker,1,0.41,0.56,2.0,143.0,3.0,0,0,technical,medium
Norman Stephens,1,0.37,0.52,2.0,155.0,3.0,0,0,technical,medium
Clyde Johnston,1,0.1,0.86,6.0,278.0,4.0,0,0,technical,high
Douglas Reese,1,0.81,1.0,4.0,253.0,5.0,0,0,technical,low
Viola Collier,1,0.11,0.8,6.0,282.0,4.0,0,0,technical,medium
Ray Holloway,1,0.11,0.84,7.0,264.0,4.0,0,0,technical,medium
